Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Breeding biology and social behaviour of the eastern race of the Splendid Fairy-wren Malurus splendens melanotus;2000;EMU;100;;95-108;Van Bael, S and Pruett-Jones, S;yes;no;NA;NA;exclude;territory size only measured for two groups (Table 2);
scopus / web of science;Neighboring group density is more important than forest stand age to a threatened social woodpecker population;2019;WILDLIFE BIOLOGY;;;;Garabedian, James E. and Moorman, Christopher E. and Peterson, M. Nils and Kilgo, John C.;yes;no;NA;NA;exclude;not possible to extract data from figures and supplementary info does not contain raw data;
scopus / web of science;Reproductive success increases with group size in cooperative carrion crows, Corvus corone corone;2008;ANIMAL BEHAVIOUR;75;;403-416;Canestrari, Daniela and Marcos, Jost M. and Baglione, Vittorio;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Selection of arboreal termitaria for nesting by cooperatively breeding Micronesian Kingfishers Todiramphus cinnamominus reichenbachii;2005;IBIS;147;1;188-196;Kesler, DC and Haig, SM;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Reproductive success, group size, and the evolution of cooperative breeding in the acorn woodpecker;1981;AMERICAN NATURALIST;117;4;421-443;Koenig, WD;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Abundance, group size and breeding success of bare-cheeked babblers Turdoides gymnogenys;2000;IBIS;142;1;58-64;Shaw, P and Shewry, M;yes;no;NA;NA;exclude;"territory size / quality not measured; indirect evidence suggests larger groups occupy larger territories";
scopus / web of science;Group size of Harris's hawks (Parabuteo icinctus) in south Texas;2017;WILSON JOURNAL OF ORNITHOLOGY;129;2;364-368;Clark, William S.;yes;no;NA;NA;exclude;territory size / quality not measured;
scopus / web of science;What determines habitat quality for a declining woodland bird in a fragmented environment: the grey-crowned babbler Pomatostomus temporalis in south-eastern Australia?;2015;PLOS ONE;10;6;;Stevens, Kate P. and Holland, Greg J. and Clarke, Rohan H. and Cooke, Raylene and Bennett, Andrew F.;yes;no;NA;NA;exclude;Figure 2b has the relationship between group size and 9 variables, but can't calculate an effect size from these since don't know sd of y variable;
scopus / web of science;Behavioural ecology of the Namibian violet woodhoopoe Phoeniculus damarensis;2007;OSTRICH;78;1;5.Jan;du Plessis, Morne A. and Simmons, Robert E. and Radford, Andrew N.;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;The Effect of Fire on the Breeding Ecology of the Grey-Crowned Babbler (Pomatostomus Temporalis) in the Australian Monsoon Tropics;2011;;;;;Fischer, Sarah Elizabeth;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Social organisation and nesting biology of the cooperatively-breeding Varied Sittella Daphoenositta chrysoptera in north-eastern New South Wales;1998;EMU;98;;85-96;Noske, RA;yes;no;NA;NA;exclude;no usable data or results reported;
